id,datetime,username,tweets,sentiment_intensity,sentiment,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
651329848305143809,2015-10-06 09:35:11+00:00,MEDEF_I,"""Visit of @EkoAtlantic City: 5M square Meters of opportunités for the development of a smart city @vivapolisfrance http://t.co/OUK2YgaAJH""",0.4019,Positive,0,1,0,0,0,0,0,0
313946758575165440,2013-03-19 09:35:14+00:00,Africa_RB,"""We take a look at #Nigeria's ambitious plans for high-tech ""smart city"" #EkoAtlantic http://t.co/PsgairqgXa #lagos""",0.7003,Positive,0,1,0,0,0,0,0,0
680104887737176064,2015-12-24 19:16:55+00:00,Medalist_X0,"""The almost free year-end concert was held at Eko Atlantic in Lagos, Nigeria with performances by other top sta... https://t.co/KsHchh76gR""",0.5868,Positive,0,1,0,0,0,0,0,1
680104872033665024,2015-12-24 19:16:51+00:00,RookieApprentic,"""The almost free year-end concert was held at Eko Atlantic in Lagos, Nigeria with performances by other top sta... https://t.co/muqyYOhwv9""",0.5868,Positive,0,1,0,0,0,0,0,1
680104866048376832,2015-12-24 19:16:50+00:00,Lucky_Yenix,"""The almost free year-end concert was held at Eko Atlantic in Lagos, Nigeria with performances by other top sta... https://t.co/brcNwSIoMe""",0.5868,Positive,0,1,0,0,0,0,0,1
680104847996104704,2015-12-24 19:16:46+00:00,ProudlyFx,"""The almost free year-end concert was held at Eko Atlantic in Lagos, Nigeria with performances by other top sta... https://t.co/LG2wOU4ZHE""",0.5868,Positive,0,1,0,0,0,0,0,1
680104842010832897,2015-12-24 19:16:44+00:00,PickySaint,"""The almost free year-end concert was held at Eko Atlantic in Lagos, Nigeria with performances by other top sta... https://t.co/uDPchMBh6L""",0.5868,Positive,0,1,0,0,0,0,0,1
679787780638117888,2015-12-23 22:16:51+00:00,ike30044,"""I liked a @YouTube video https://t.co/f66GOjC1d3 African Mega Projecs ep.1 | The African Shanghai, Eko Atlantic City in Nigeria""",0.4215,Positive,0,0,1,1,0,0,0,0
679408649995952128,2015-12-22 21:10:19+00:00,kamparia,"""Access Mavin Concert happening tomorrow at Eko Atlantic  https://t.co/pLhu6QNazo #nigeria https://t.co/KpGP6rtf4v""",0.0,Neutral,0,2,0,0,0,0,0,0
677876925952491520,2015-12-18 15:43:48+00:00,ugo_ebili,"""Live at Eko Atlantic watching Nigeria vs Ivory game #CopaLagos2015.""",0.0,Neutral,0,1,0,1,0,0,0,0
677876455770947588,2015-12-18 15:41:56+00:00,ugo_ebili,"""Live at Eko Atlantic watching Nigeria vs Ivory game #CopaLagos2015""",0.0,Neutral,0,1,0,1,0,0,0,0
677432081501298688,2015-12-17 10:16:08+00:00,SagaciResearch,"""Amazing to see the progress of @EkoAtlantic in #Lagos #Nigeria https://t.co/kHej7CAC1A""",0.765,Positive,0,1,0,0,1,0,0,0
677027073140092928,2015-12-16 07:26:47+00:00,iktissad,"""Ronald CHAGOURY Jr, Vice Chairman, Eko Atlantic #Nigeria sepaking about his experience as an #emigrant at #LEEC2015 https://t.co/1yIzVmfbNX""",0.0,Neutral,0,0,0,0,0,0,0,1
676366094756655104,2015-12-14 11:40:17+00:00,Lagos_Newspage,"""@EkoAtlantic Place your Ad on the biggest #RealEstate Radio Show in Nigeria. Register here https://t.co/maKcPEAiHS https://t.co/HT07H3Nblf""",0.0,Neutral,0,0,0,0,0,0,0,1
675064110363578369,2015-12-10 21:26:40+00:00,VinceMalumBono,"""Nigeria ekoatlantic something to be proud about .""",0.4767,Positive,0,1,0,0,1,0,0,1
670313537160417281,2015-11-27 18:49:35+00:00,AfricaNewsPress,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/Ye5ebl5ugZ""",-0.4588,Negative,0,1,0,1,0,0,0,1
670298003962400768,2015-11-27 17:47:52+00:00,OmoAkinbi,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/B4ALNz5nlP""",-0.4588,Negative,0,1,0,1,0,0,0,1
670292103545532416,2015-11-27 17:24:25+00:00,KoboSaver,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/DGuHKkkpoi""",-0.4588,Negative,0,1,0,1,0,0,0,1
670292096717209603,2015-11-27 17:24:23+00:00,olufemiadelaja,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/mUxZFeZMLX""",-0.4588,Negative,0,1,0,1,0,0,0,1
670292092812328960,2015-11-27 17:24:23+00:00,Flaming_Tenmao,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/733Zyc0Pnr""",-0.4588,Negative,0,1,0,1,0,0,0,1
670292086701199360,2015-11-27 17:24:21+00:00,9jaallnews,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/6G58FiTkYx""",-0.4588,Negative,0,1,0,1,0,0,0,1
670292083568078848,2015-11-27 17:24:20+00:00,Naynee__,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/3aR9tfqTvv""",-0.4588,Negative,0,1,0,1,0,0,0,1
670292075032674304,2015-11-27 17:24:18+00:00,Naijawhatsup,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/g3cflpB72y""",-0.4588,Negative,0,1,0,1,0,0,0,1
670292063896797184,2015-11-27 17:24:16+00:00,Charllybim,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/NRSWcPQUuF""",-0.4588,Negative,0,1,0,1,0,0,0,1
670292061178884096,2015-11-27 17:24:15+00:00,roselyngreat,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/zBrX4FaD7t""",-0.4588,Negative,0,1,0,1,0,0,0,1
670292051330646016,2015-11-27 17:24:13+00:00,bilaalgimba,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/tAY2oX0T6d""",-0.4588,Negative,0,1,0,1,0,0,0,1
670292047329300480,2015-11-27 17:24:12+00:00,johnero_,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/lW5jntLnCP""",-0.4588,Negative,0,1,0,1,0,0,0,1
670282303914962944,2015-11-27 16:45:29+00:00,AkaniOg,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/XwTwHtHeuq""",-0.4588,Negative,0,1,0,1,0,0,0,1
670282295325003776,2015-11-27 16:45:27+00:00,mykello47,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/QgOw0N7Pqv""",-0.4588,Negative,0,1,0,1,0,0,0,1
670282284126179328,2015-11-27 16:45:24+00:00,AkaniOg,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/GqaXXBHqpt""",-0.4588,Negative,0,1,0,1,0,0,0,1
670282264987590657,2015-11-27 16:45:19+00:00,lumidee_,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/D8EK4s8YOW""",-0.4588,Negative,0,1,0,1,0,0,0,1
670282255672016896,2015-11-27 16:45:17+00:00,Iam_edreez,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/XmkX9hyWSj""",-0.4588,Negative,0,1,0,1,0,0,0,1
670282254615052289,2015-11-27 16:45:17+00:00,Ethelbertmiracl,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/3VhFvsP30B""",-0.4588,Negative,0,1,0,1,0,0,0,1
670282247312805888,2015-11-27 16:45:15+00:00,iamemperorJ,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/h0eG1WRfE8""",-0.4588,Negative,0,1,0,1,0,0,0,1
670282233853317124,2015-11-27 16:45:12+00:00,johnero_,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/0BjSZZqPjF""",-0.4588,Negative,0,1,0,1,0,0,0,1
670282233014452224,2015-11-27 16:45:12+00:00,iam_obio,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/1dPQGVhvvP""",-0.4588,Negative,0,1,0,1,0,0,0,1
670282229067550720,2015-11-27 16:45:11+00:00,Mz_Yinkqueen,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/ES5SPqAMse""",-0.4588,Negative,0,1,0,1,0,0,0,1
670282220834172928,2015-11-27 16:45:09+00:00,Ojand890,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/w0iGVFe5Jh""",-0.4588,Negative,0,1,0,1,0,0,0,1
670282169869176833,2015-11-27 16:44:57+00:00,am_enigmamike,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/a4pL1dxGUU""",-0.4588,Negative,0,1,0,1,0,0,0,1
670282154253750272,2015-11-27 16:44:53+00:00,Allikab,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/I8FcITfjj5""",-0.4588,Negative,0,1,0,1,0,0,0,1
670282114282033153,2015-11-27 16:44:43+00:00,etu_009freshkid,"""With N500, watch Don Jazzy, Tiwa Savage and The Mavin perform at Eko Atlantic: PayWithCapture, Nigeria’s leadi... https://t.co/RNdVFbrsUT""",-0.4588,Negative,0,1,0,1,0,0,0,1
666416019825696769,2015-11-17 00:42:15+00:00,Chriskata1,"""Eko Atlantic , Lagos Nigeria. Wait for it . I love ... https://t.co/In7Zpr5iJU""",0.6369,Positive,0,1,0,0,1,0,0,0
662993632249683968,2015-11-07 14:02:54+00:00,VICTORAEVANS,"""Spectacular SUN RISE @ Eko Atlantic City, Lagos-Nigeria. Isn't nature beautiful? https://t.co/6TQTlJs1uB""",-0.4847,Negative,0,2,0,0,1,0,2,1
661789228532133889,2015-11-04 06:17:02+00:00,soundwisdomtalk,"""@CITY1051 # This is the issue in Nigeria. We don't have quick responses in our system. Yet we are building massive structure @ Eko Atlantic.""",0.0,Neutral,0,0,0,0,0,0,0,1
659185334954016768,2015-10-28 01:50:05+00:00,nyoogo_info,"""Thank you @3INVEST &amp; @EkoAtlantic for welcoming our team to this year's @realestateunite 2015 in Lagos, Nigeria https://t.co/T9B0cVjEti""",0.6597,Positive,0,0,0,0,0,0,0,1
658695324257656832,2015-10-26 17:22:57+00:00,AWBroadcast,"""@EkoAtlantic. It was my first time in Nigeria and I had a blast. Already Coming back to present my film at @Afriff. Come and check it out?""",0.0,Neutral,1,2,0,1,1,0,2,1
657847949788094464,2015-10-24 09:15:48+00:00,AWBroadcast,"""Last time I was in Nigeria at @EkoAtlantic Beach Polo Tournament. Next time @AFRIFF. #ComingSoon #SecondWindMovie https://t.co/tikLcxiszk""",0.0,Neutral,0,2,0,0,1,0,0,0
